ID,duration,wav,wav_format,wav_opts
noise-free-sound-0303_0,8.1955,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0303.wav,wav,
noise-free-sound-0277_1,5.705125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0277.wav,wav,
noise-free-sound-0162_2,14.9333125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0162.wav,wav,
noise-free-sound-0041_3,57.782875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0041.wav,wav,
noise-free-sound-0233_4,44.3495,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0233.wav,wav,
noise-free-sound-0087_5,2.8,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0087.wav,wav,
noise-free-sound-0521_6,7.0008125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0521.wav,wav,
noise-free-sound-0260_7,14.4,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0260.wav,wav,
noise-free-sound-0651_8,65.2095,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0651.wav,wav,
noise-free-sound-0325_9,1.6456875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0325.wav,wav,
noise-free-sound-0527_10,9.3093125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0527.wav,wav,
noise-free-sound-0186_11,2.8361875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0186.wav,wav,
noise-free-sound-0361_12,7.7390625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0361.wav,wav,
noise-free-sound-0710_13,45.7404375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0710.wav,wav,
noise-free-sound-0463_14,15.1105625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0463.wav,wav,
noise-free-sound-0150_15,0.4504375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0150.wav,wav,
noise-free-sound-0490_16,12.9799375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0490.wav,wav,
noise-free-sound-0245_17,29.562875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0245.wav,wav,
noise-free-sound-0797_18,16.384,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0797.wav,wav,
noise-free-sound-0627_19,0.3135,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0627.wav,wav,
noise-free-sound-0450_20,16.1713125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0450.wav,wav,
noise-free-sound-0054_21,10.053375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0054.wav,wav,
noise-free-sound-0595_22,26.898625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0595.wav,wav,
noise-free-sound-0730_23,1.489,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0730.wav,wav,
noise-free-sound-0338_24,9.24,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0338.wav,wav,
noise-free-sound-0621_25,6.724375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0621.wav,wav,
noise-free-sound-0703_26,8.1930625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0703.wav,wav,
noise-free-sound-0469_27,10.7805,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0469.wav,wav,
noise-free-sound-0590_28,3.78775,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0590.wav,wav,
noise-free-sound-0523_29,8.424,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0523.wav,wav,
noise-free-sound-0445_30,18.3901875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0445.wav,wav,
noise-free-sound-0618_31,3.0205625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0618.wav,wav,
noise-free-sound-0652_32,5.69925,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0652.wav,wav,
noise-free-sound-0156_33,90.197375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0156.wav,wav,
noise-free-sound-0201_34,7.0486875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0201.wav,wav,
noise-free-sound-0314_35,0.6109375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0314.wav,wav,
noise-free-sound-0014_36,3.4159375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0014.wav,wav,
noise-free-sound-0006_37,7.7701875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0006.wav,wav,
noise-free-sound-0600_38,45.395,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0600.wav,wav,
noise-free-sound-0236_39,5.5640625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0236.wav,wav,
noise-free-sound-0447_40,28.5779375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0447.wav,wav,
noise-free-sound-0300_41,6.112625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0300.wav,wav,
noise-free-sound-0435_42,5.27675,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0435.wav,wav,
noise-free-sound-0268_43,22.710875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0268.wav,wav,
noise-free-sound-0515_44,4.075125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0515.wav,wav,
noise-free-sound-0178_45,4.884625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0178.wav,wav,
noise-free-sound-0507_46,1.1199375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0507.wav,wav,
noise-free-sound-0648_47,12.288,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0648.wav,wav,
noise-free-sound-0617_48,8.2026875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0617.wav,wav,
noise-free-sound-0321_49,113.0,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0321.wav,wav,
noise-free-sound-0097_50,2.7369375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0097.wav,wav,
noise-free-sound-0398_51,44.8800625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0398.wav,wav,
noise-free-sound-0686_52,15.6038125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0686.wav,wav,
noise-free-sound-0177_53,106.737875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0177.wav,wav,
noise-free-sound-0739_54,19.224,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0739.wav,wav,
noise-free-sound-0756_55,4.15875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0756.wav,wav,
noise-free-sound-0649_56,50.4279375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0649.wav,wav,
noise-free-sound-0357_57,8.1763125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0357.wav,wav,
noise-free-sound-0525_58,0.9583125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0525.wav,wav,
noise-free-sound-0067_59,39.889,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0067.wav,wav,
noise-free-sound-0544_60,107.064,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0544.wav,wav,
noise-free-sound-0740_61,64.0714375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0740.wav,wav,
noise-free-sound-0536_62,0.69275,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0536.wav,wav,
noise-free-sound-0581_63,51.4863125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0581.wav,wav,
noise-free-sound-0585_64,0.9288125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0585.wav,wav,
noise-free-sound-0482_65,13.5314375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0482.wav,wav,
noise-free-sound-0167_66,2.005375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0167.wav,wav,
noise-free-sound-0582_67,1.4744375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0582.wav,wav,
noise-free-sound-0035_68,31.9333125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0035.wav,wav,
noise-free-sound-0454_69,41.885,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0454.wav,wav,
noise-free-sound-0039_70,3.4466875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0039.wav,wav,
noise-free-sound-0609_71,10.161625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0609.wav,wav,
noise-free-sound-0726_72,120.0138125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0726.wav,wav,
noise-free-sound-0448_73,0.574,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0448.wav,wav,
noise-free-sound-0455_74,168.2695,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0455.wav,wav,
noise-free-sound-0732_75,31.73875,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0732.wav,wav,
noise-free-sound-0302_76,17.914125,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0302.wav,wav,
noise-free-sound-0122_77,8.0,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0122.wav,wav,
noise-free-sound-0577_78,13.4530625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0577.wav,wav,
noise-free-sound-0520_79,12.5,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0520.wav,wav,
noise-free-sound-0452_80,17.8445625,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0452.wav,wav,
noise-free-sound-0133_81,0.5209375,/home/pdnguyen/Identification_ASR_practice/Noise/noise/pointsource_noises/noise-free-sound-0133.wav,wav,
